full_name,member
blaine luetkemeyer,blaine luetkemeyer
ben ray lujan,ben lujan
elaine g. luria,elaine luria
stephen f. lynch,stephen lynch
tom malinowski,tom malinowski
carolyn b. maloney,carolyn maloney
sean patrick maloney,sean maloney
joe manchin,joseph manchin
kenny marchant,kenny marchant
edward j. markey,edward markey
roger w. marshall,roger marshall
thomas massie,thomas massie
brian j. mast,brian mast
catherine cortez masto,catherine cortez masto
doris o. matsui,doris matsui
ben mcadams,ben mcadams
lucy mcbath,lucy mcbath
kevin mccarthy,kevin mccarthy
michael t. mccaul,michael mccaul
tom mcclintock,tom mcclintock
betty mccollum,betty mccollum
mitch mcconnell,mitch mcconnell
a. donald mceachin,aston mceachin
james p. mcgovern,james mcgovern
patrick t. mchenry,patrick mchenry
david b. mckinley,david mckinley
jerry mcnerney,gerald mcnerney
martha mcsally,martha mcsally
mark meadows,mark meadows
gregory w. meeks,gregory meeks
robert menendez,robert menendez
grace meng,grace meng
jeff merkley,jeffery merkley
daniel meuser,daniel meuser
carol d. miller,carol miller
paul mitchell,paul mitchell
john r. moolenaar,john moolenaar
alexander x. mooney,alexander mooney
gwen moore,gwendolynne moore
jerry moran,jerry moran
joseph d. morelle,joseph morelle
seth moulton,seth moulton
markwayne mullin,markwayne mullin
lisa murkowski,lisa murkowski
christopher murphy,christopher murphy
stephanie n. murphy,stephanie murphy
gregory f. murphy,gregory murphy
patty murray,patty murray
jerrold nadler,jerrold nadler
grace f. napolitano,grace napolitano
richard e. neal,richard neal
joe neguse,joseph neguse
dan newhouse,daniel newhouse
michael f. q. san nicolas,michael san nicolas
donald norcross,donald norcross
ralph norman,ralph norman
eleanor holmes norton,eleanor norton
devin nunes,devin nunes
pete olson,pete olson
ilhan omar,ilhan omar
steven m. palazzo,steven palazzo
frank pallone,frank pallone
gary j. palmer,gary palmer
jimmy panetta,jimmy panetta
chris pappas,christopher pappas
bill pascrell,william pascrell
rand paul,rand paul
donald m. payne,donald payne
nancy pelosi,nancy pelosi
greg pence,greg pence
david perdue,david perdue
ed perlmutter,ed perlmutter
scott perry,scott perry
gary c. peters,gary peters
scott h. peters,scott peters
collin c. peterson,collin peterson
dean phillips,dean phillips
chellie pingree,chellie pingree
stacey e. plaskett,stacey plaskett
mark pocan,mark pocan
katie porter,katie porter
rob portman,robert portman
bill posey,bill posey
debbie mucarsel-powell,debbie mucarsel-powell
ayanna pressley,ayanna pressley
david e. price,david price
mike quigley,mike quigley
aumua amata coleman radewagen,amata radewagen
jamie raskin,jamie raskin
john ratcliffe,john ratcliffe
jack reed,john reed
tom reed,thomas reed
guy reschenthaler,guy reschenthaler
kathleen m. rice,kathleen rice
tom rice,tom rice
cedric l. richmond,cedric richmond
denver riggleman,denver riggleman
james e. risch,james risch
pat roberts,charles roberts
martha roby,martha roby
lisa blunt rochester,lisa blunt rochester
cathy mcmorris rodgers,cathy mcmorris rodgers
david p. roe,david roe
harold rogers,harold rogers
mike rogers,michael rogers
mitt romney,willard romney
francis rooney,francis rooney
max rose,max rose
john w. rose,john rose
jacky rosen,jacklyn rosen
harley rouda,harley rouda
mike rounds,marion rounds
david rouzer,david rouzer
chip roy,chip roy
marco rubio,marco rubio
raul ruiz,raul ruiz
c. a. dutch ruppersberger,c. a. dutch ruppersberger
bobby l. rush,bobby rush
john h. rutherford,john rutherford
tim ryan,timothy ryan
gregorio kilili camacho sablan,gregorio sablan
linda t. sanchez,linda sanchez
bernard sanders,bernard sanders
john p. sarbanes,john sarbanes
ben sasse,ben sasse
steve scalise,stephen scalise
mary gay scanlon,mary scanlon
janice d. schakowsky,janice schakowsky
brian schatz,brian schatz
adam b. schiff,adam schiff
bradley scott schneider,brad schneider
kurt schrader,walter schrader
kim schrier,kim schrier
debbie wasserman schultz,debbie wasserman schultz
charles e. schumer,charles schumer
david schweikert,david schweikert
"robert c. ""bobby"" scott",robert scott
rick scott,rick scott
tim scott,timothy scott
david scott,david scott
austin scott,james scott
f. james sensenbrenner,frank sensenbrenner
jose e. serrano,jose serrano
terri a. sewell,terrycina sewell
jeanne shaheen,jeanne shaheen
donna e. shalala,donna shalala
richard c. shelby,richard shelby
brad sherman,brad sherman
mikie sherrill,mikie sherrill
john shimkus,john shimkus
michael k. simpson,michael simpson
kyrsten sinema,kyrsten sinema
albio sires,albio sires
elissa slotkin,elissa slotkin
xochitl torres small,xochitl torres small
christopher h. smith,christopher smith
adam smith,adam smith
adrian smith,adrian smith
tina smith,tina smith
jason smith,jason smith
cindy hyde-smith,cindy hyde-smith
lloyd smucker,lloyd smucker
darren soto,darren soto
abigail davis spanberger,abigail spanberger
ross spano,ross spano
jackie speier,karen speier
debbie stabenow,debbie stabenow
greg stanton,greg stanton
pete stauber,peter stauber
elise m. stefanik,elise stefanik
bryan steil,bryan steil
w. gregory steube,greg steube
haley m. stevens,haley stevens
chris stewart,chris stewart
steve stivers,steve stivers
dan sullivan,daniel sullivan
thomas r. suozzi,thomas suozzi
eric swalwell,eric swalwell
mark takano,mark takano
van taylor,nicholas taylor
jon tester,jon tester
bennie g. thompson,bennie thompson
mike thompson,michael thompson
glenn thompson,glenn thompson
mac thornberry,william thornberry
john thune,john thune
thom tillis,thomas tillis
william r. timmons iv,william timmons
scott r. tipton,scott tipton
dina titus,alice titus
rashida tlaib,rashida tlaib
paul tonko,paul tonko
patrick j. toomey,patrick toomey
norma j. torres,norma torres
lori trahan,lori trahan
david j. trone,david trone
michael r. turner,michael turner
tom udall,thomas udall
lauren underwood,lauren underwood
fred upton,frederick upton
juan vargas,juan vargas
marc a. veasey,marc veasey
filemon vela,filemon vela
nydia m. velazquez,nydia velazquez
peter j. visclosky,peter visclosky
ann wagner,ann wagner
tim walberg,timothy walberg
greg walden,greg walden
mark walker,bradley walker
jackie walorski,jackie walorski
michael waltz,michael waltz
mark r. warner,mark warner
elizabeth warren,elizabeth warren
maxine waters,maxine waters
steve watkins,steven watkins
randy k. weber,randy weber
daniel webster,daniel webster
peter welch,peter welch
brad r. wenstrup,brad wenstrup
bruce westerman,bruce westerman
jennifer wexton,jennifer wexton
sheldon whitehouse,sheldon whitehouse
roger f. wicker,roger wicker
susan wild,susan wild
roger williams,roger williams
joe wilson,addison wilson
frederica s. wilson,frederica wilson
robert j. wittman,robert wittman
steve womack,stephen womack
rob woodall,w. woodall
ron wright,ron wright
ron wyden,ron wyden
john a. yarmuth,john yarmuth
ted s. yoho,theodore yoho
don young,donald young
todd young,todd young
lee m. zeldin,lee zeldin
